Severity	Code	Description	Project	File	Line	Suppression State
Error (active)	CS0234	The type or namespace name 'Libro' does not exist in the namespace 'libreriawebpractica.Models' (are you missing an assembly reference?)	libreriawebpractica	C:\Users\ASUS\source\repos\libreriawebpractica\libreriawebpractica\obj\Debug\net8.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Views_Libros_Create_cshtml.g.cs	417	
Error (active)	CS0234	The type or namespace name 'Libro' does not exist in the namespace 'libreriawebpractica.Models' (are you missing an assembly reference?)	libreriawebpractica	C:\Users\ASUS\source\repos\libreriawebpractica\libreriawebpractica\obj\Debug\net8.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Views_Libros_Delete_cshtml.g.cs	285	
Error (active)	CS0234	The type or namespace name 'Libro' does not exist in the namespace 'libreriawebpractica.Models' (are you missing an assembly reference?)	libreriawebpractica	C:\Users\ASUS\source\repos\libreriawebpractica\libreriawebpractica\obj\Debug\net8.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Views_Libros_Details_cshtml.g.cs	271	
Error (active)	CS0234	The type or namespace name 'Libro' does not exist in the namespace 'libreriawebpractica.Models' (are you missing an assembly reference?)	libreriawebpractica	C:\Users\ASUS\source\repos\libreriawebpractica\libreriawebpractica\obj\Debug\net8.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Views_Libros_Edit_cshtml.g.cs	505	
Error (active)	CS0234	The type or namespace name 'Libro' does not exist in the namespace 'libreriawebpractica.Models' (are you missing an assembly reference?)	libreriawebpractica	C:\Users\ASUS\source\repos\libreriawebpractica\libreriawebpractica\obj\Debug\net8.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Views_Libros_Index_cshtml.g.cs	387	
Error (active)	CS0234	The type or namespace name 'Libro' does not exist in the namespace 'libreriawebpractica.Models' (are you missing an assembly reference?)	libreriawebpractica	C:\Users\ASUS\source\repos\libreriawebpractica\libreriawebpractica\Views\Libros\Create.cshtml	1	
Error (active)	CS0234	The type or namespace name 'Libro' does not exist in the namespace 'libreriawebpractica.Models' (are you missing an assembly reference?)	libreriawebpractica	C:\Users\ASUS\source\repos\libreriawebpractica\libreriawebpractica\Views\Libros\Create.cshtml	44	
Error (active)	CS0234	The type or namespace name 'Libro' does not exist in the namespace 'libreriawebpractica.Models' (are you missing an assembly reference?)	libreriawebpractica	C:\Users\ASUS\source\repos\libreriawebpractica\libreriawebpractica\Views\Libros\Delete.cshtml	2	
Error (active)	CS0234	The type or namespace name 'Libro' does not exist in the namespace 'libreriawebpractica.Models' (are you missing an assembly reference?)	libreriawebpractica	C:\Users\ASUS\source\repos\libreriawebpractica\libreriawebpractica\Views\Libros\Delete.cshtml	43	
Error (active)	CS0234	The type or namespace name 'Libro' does not exist in the namespace 'libreriawebpractica.Models' (are you missing an assembly reference?)	libreriawebpractica	C:\Users\ASUS\source\repos\libreriawebpractica\libreriawebpractica\Views\Libros\Details.cshtml	2	
Error (active)	CS0234	The type or namespace name 'Libro' does not exist in the namespace 'libreriawebpractica.Models' (are you missing an assembly reference?)	libreriawebpractica	C:\Users\ASUS\source\repos\libreriawebpractica\libreriawebpractica\Views\Libros\Details.cshtml	42	
Error (active)	CS0234	The type or namespace name 'Libro' does not exist in the namespace 'libreriawebpractica.Models' (are you missing an assembly reference?)	libreriawebpractica	C:\Users\ASUS\source\repos\libreriawebpractica\libreriawebpractica\Views\Libros\Edit.cshtml	2	
Error (active)	CS0234	The type or namespace name 'Libro' does not exist in the namespace 'libreriawebpractica.Models' (are you missing an assembly reference?)	libreriawebpractica	C:\Users\ASUS\source\repos\libreriawebpractica\libreriawebpractica\Views\Libros\Edit.cshtml	55	
Error (active)	CS0234	The type or namespace name 'Libro' does not exist in the namespace 'libreriawebpractica.Models' (are you missing an assembly reference?)	libreriawebpractica	C:\Users\ASUS\source\repos\libreriawebpractica\libreriawebpractica\Views\Libros\Index.cshtml	2	
Error (active)	CS0234	The type or namespace name 'Libro' does not exist in the namespace 'libreriawebpractica.Models' (are you missing an assembly reference?)	libreriawebpractica	C:\Users\ASUS\source\repos\libreriawebpractica\libreriawebpractica\Views\Libros\Index.cshtml	63	
